"","Country","Taxa","Species","SynchVar","MeanRhos","rho250km","Mean250km","meansynchtemp.detrended","meansynchprecip.detrended","meandist","mediandist","Mean250kmZ","precip","temp","Sedentary","Groupreslongshort","SpecialistGeneralistRank_Y","SpecialistGeneralistRank_B","GenLength","Voltinism","FINAL","Larvaldiet","LogGenTime","insectLarvalDiet","MobilityBird","MobilityInsect","slowfast","movement","specgen","Taxa2","Dataset"
"1","Norway","Butterflies","Aglais urticae","log.r",0.331754023697635,0.399722671026058,0.232473922482238,0.989485482802281,0.841624864837725,133.296634761955,122.877846881141,0.232473922482238,0.6180837227276,0.974836216432453,NA,NA,NA,NA,NA,"Multi","Migrant","M",NA,1,NA,"Migrant","Multi",NA,1,"Insects","Norway Insects"
"2","Norway","Butterflies","Vanessa atalanta","log.r",0.673791523367789,0.635062769023208,0.717944967722135,0.989485482802281,0.841624864837725,121.282268992794,91.9018260759628,0.785420714274909,0.597081036729777,0.959220632580833,NA,NA,NA,NA,NA,"Multi","Migrant","M",NA,1,NA,"Migrant","Multi",NA,1,"Insects","Norway Insects"
"3","Norway","Butterflies","Aglais urticae","log.r",0.331754023697635,0.399722671026058,0.232473922482238,0.989485482802281,0.841624864837725,133.296634761955,122.877846881141,-0.0195994885735892,0.6180837227276,0.974836216432453,NA,NA,NA,NA,NA,"Multi","Migrant","M",NA,1,NA,"Migrant","Multi",NA,1,"Insects","Norway Insects"
"4","Norway","Butterflies","Vanessa atalanta","log.r",0.673791523367789,0.635062769023208,0.717944967722135,0.989485482802281,0.841624864837725,121.282268992794,91.9018260759628,0.785420714274909,0.597081036729777,0.959220632580833,NA,NA,NA,NA,NA,"Multi","Migrant","M",NA,1,NA,"Migrant","Multi",NA,1,"Insects","Norway Insects"
"5","UK","Butterflies","Aglais urticae","log.r",0.409203564635438,0.417994674826277,0.454981903907169,0.933495712092567,0.683505210099698,161.496000518127,166.932187202959,0.498089439833464,0.935335008608433,0.979459598860152,NA,NA,NA,NA,NA,"Multi","Migrant","M",NA,1,NA,"Migrant","Multi",NA,1,"Insects","UK Insects"
"6","UK","Butterflies","Lycaena phlaeas","log.r",0.26538033308812,0.264636720133102,0.311940498547732,0.933495712092567,0.683505210099698,162.566295820329,166.68343823061,0.341463562513347,0.935335008608433,0.979459598860152,NA,NA,NA,NA,NA,"Multi","Migrant","NO",NA,2,NA,"Migrant","Multi",NA,2,"Insects","UK Insects"
"7","UK","Butterflies","Pieris brassicae","log.r",0.489690691151683,0.492431864059392,0.556435267456467,0.933495712092567,0.683505210099698,161.889659359599,166.425597564508,0.608750364784908,0.935335008608433,0.979459598860152,NA,NA,NA,NA,NA,"Multi","Migrant","O",NA,3,NA,"Migrant","Multi",NA,3,"Insects","UK Insects"
"8","UK","Butterflies","Pieris rapae","log.r",0.51312722744544,0.513901240635465,0.553166451079792,0.933495712092567,0.683505210099698,162.286858990356,167.915794711712,0.601064629404228,0.935335008608433,0.979459598860152,NA,NA,NA,NA,NA,"Multi","Migrant","O",NA,3,NA,"Migrant","Multi",NA,3,"Insects","UK Insects"
"9","UK","Butterflies","Vanessa atalanta","log.r",0.485990349666357,0.5263205590614,0.587452099396187,0.933495712092567,0.683505210099698,162.273366623703,168.37098853675,0.623225782322577,0.935335008608433,0.979459598860152,NA,NA,NA,NA,NA,"Multi","Migrant","M",NA,1,NA,"Migrant","Multi",NA,1,"Insects","UK Insects"
"10","UK","Butterflies","Vanessa cardui","log.r",0.868657666858606,0.865363400694433,0.88354325441248,0.933495712092567,0.683505210099698,162.265799584185,167.008716276118,0.904114957574051,0.935335008608433,0.979459598860152,NA,NA,NA,NA,NA,"Multi","Migrant","M",NA,1,NA,"Migrant","Multi",NA,1,"Insects","UK Insects"
